"","Respondents","1. Do you give your consent to take part in this study?","2. What is your current age in years?","3. What is your gender?","4. Do you currently live in the UK?","5. What are the first 3 digits of your postcode? (e.g., HU5, YO1).","6. Please click the item that best describes the neighbourhood you live in:","7. Are you a member of an environmental charity or community group? (i.e., RSPB, ""Friends of"" group)","8. Do you participate in any form of nature recording? (e.g., via apps iNaturalist, Seek, Merlin or as an amateur naturalist)","9.1. 1. I always find beauty in nature.","9.2. 2. I always treat nature with respect.","9.3. 3. Being in nature makes me very happy.","9.4. 4. Spending time in nature is very important to me.","9.5. 5. I find being in nature really amazing.","9.6. 6. I feel part of nature.","10. How often do you visit blue spaces?","10.1. Rivers, canals and dykes","10.2. Park lakes","10.3. Coastal areas","10.4. Estuaries","10.5. Marinas","11. Have you heard of the term ""rewilding""?","12.1. Cities should have more blue spaces","12.2. Blue spaces are important for nature","12.3. Blue spaces in the UK are in poor condition","12.4. Blue spaces are important for my health and wellbeing","12.5. We should “rewild” UK blue spaces","13. Do you carry out any of these activities around blue spaces?","14. In three words describe a blue space in your local area","15. In three words describe a ""wild"" blue space in your local area","16. What wildlife have you seen around blue spaces?","17. What types of wildlife would you like to see more of?","18. Would you consider providing a blue space (e.g., large nature pond or mini bucket pond) in your garden, allotment or other available outdoor space?","19. How would you improve blue spaces for people and nature?","Start Date","Completion Date","age_factor","location","gender","10.1. Rivers, canals and dykes_binary","10.2. Park lakes_binary","10.3. Coastal areas_binary","10.4. Estuaries_binary","10.5. Marinas_binary","blue_space_total_frequency","blue_space_mean_frequency","blue_space_num_visited"
"115","Respondent 116","I give consent to take part in this study",34,"Female","Yes","Hu5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Yes","No","3","2","3","1","3","2",NA,12,12,2,2,52,"Yes",6,6,4,6,5,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Picturesq, calming, welcoming","Tranquil, engaging, inquisitive","Birds, fish, squirrels","All wildlife","I would if I had the space","Make them more accessible","2025-04-16 11:58:23 UTC","2025-04-16 12:04:02 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,80,16,5
"116","Respondent 117","I give consent to take part in this study",57,"Female","Yes","Hu6","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","1",NA,12,2,2,2,12,"Yes",7,7,7,7,7,"Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Pond dipping","Pearson park pond","Lido","Birds butterflies","Otters moles kingfishers voles","Maybe, I would consider providing a blue space with more information or assistance","Accessability","2025-04-16 11:57:36 UTC","2025-04-16 12:05:05 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,30,6,5
"117","Respondent 118","I give consent to take part in this study",58,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","1","2","3","2","3",NA,2,2,12,2,1,"No",6,6,7,6,4,"I don't carry out any of these activities","Overgrown relaxing urban","Not a clue","Birds squirels","Rare endangered indigenous speciespecies","I already do","Government funding","2025-04-16 12:03:39 UTC","2025-04-16 12:10:48 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,19,3.8,5
"118","Respondent 119","I give consent to take part in this study",63,"Female","Yes","HG5","Suburban (i.e., mostly houses, located just outside a city or town)","No","Yes","2","2","2","2","2","3",NA,12,2,1,2,2,"Yes",5,5,5,5,5,"Dog walking,Feeding wildlife (e.g., ducks, fish)","We have a River near by River Nidd and a pond at our park","A pond that’s over grown and just left for years before being cleared","Dogs rats mice birds","Ducks","No","When housing estate are awarded they would have to provide green and blue spaces","2025-04-16 12:33:37 UTC","2025-04-16 12:41:01 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,19,3.8,5
"119","Respondent 120","I give consent to take part in this study",61,"Female","Yes","Ip9","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","2","2","1","2","3",NA,12,2,12,12,0,"Yes",7,7,2,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography","A path along an estuary, with an industrial area on one side and wading birds and swans in the estuary.","Shingly beach overlooking the North Sea","Wading and other estuary birds; gulls and terns; occasionally seals","Little terns, seals, dolphins","I already do","Less sewage pollutio","2025-04-16 13:16:09 UTC","2025-04-16 13:26:23 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,0,38,7.6,4
"120","Respondent 121","I give consent to take part in this study",74,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","2","2","1",NA,2,12,12,1,2,"Yes",1,1,5,6,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","Pickering Park","Priory farm","Foxes. Deer . Birds","Birds plants and flowers","I would if I had the space","More accessible","2025-04-16 14:09:17 UTC","2025-04-16 14:15:11 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,29,5.8,5
"121","Respondent 122","I give consent to take part in this study",45,"Female","Yes","HU5","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","2",NA,12,12,12,1,2,"Yes",1,1,5,1,4,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish),Rock pooling","Relaxing, beautiful and enjoyable","Relaxing, peaceful, enjoyable","Relaxing Peaceful Enjoyable","Swans, ducks and birds","No","Have a swimming area and a separate nature area","2025-04-16 16:01:37 UTC","2025-04-16 16:12:21 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,39,7.8,5
"122","Respondent 123","I give consent to take part in this study",64,"Male","Yes","HU8","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","2","3","2","3","3",NA,52,12,12,12,2,"Yes",6,6,6,5,5,"Nature watching","Linear drainage channel","None","Water vole, flat fish. Rudd","Ducks, grebes","I already do","Education, retain more water in cities","2025-04-16 16:21:16 UTC","2025-04-16 16:26:16 UTC","4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,90,18,5
"123","Respondent 124","I give consent to take part in this study",62,"Male","Yes","No","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1","1","1","1","1","3",NA,52,12,52,52,2,"Yes",7,7,5,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Rock pooling","Clean, wooded, fresh","Sandy, windy, natural","Seabirds, fish, tadpoles, frogs, insects, ducks, geese, swans","Beavers, otters, voles, raptors","I already do","Less concrete and tar mcadam paths, more natural dirt paths","2025-04-16 18:31:46 UTC","2025-04-16 18:40:43 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Male",1,1,1,1,1,170,34,5
"124","Respondent 125","I give consent to take part in this study",51,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","1","1","1","1","2",NA,12,2,52,12,2,"Yes",6,6,5,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Rock pooling","small, busy, unloved","rugged, eroding, important","dragonflies, bees, butterflies, amphibians (+ frog spawn), various bird species, (inc seabirds at Bempton + wading birds & avocets along the estuary mudflats), crabs, molluscs & bivalves on beaches.","cetaceans (we always seem to miss them when at the coast!), more variety of butterflies.","I would if I had the space","I think the coastal areas attract far too many visitors sometimes, who demand manmade tourist infrastructure, that it tips the balance of being detrimental to protecting the wildlife.  They got to nature but not always to enjoy the actual nature themselves, without stuff 'to do' there.  Perhaps with tourism promotion, there should be responsibility to educate respect for wild and blue spaces too? I remember when I was a child, there were always campaigns to 'take your rubbish home', 'follow the countryside code', 'shut gates behind you' etc, but these messages don't seem to be around as much (or get lost in the volume of the info on the internet & social media).  Actually showing children how to play in nature, safely around water (like the forest schools/fire pit model) would provide those skills for next generations to appreciate these environments more?","2025-04-16 19:16:46 UTC","2025-04-16 19:39:16 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,80,16,5
"125","Respondent 126","I give consent to take part in this study",47,"Female","Yes","WN8","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","3","2","2","2","3","5",NA,52,12,12,2,2,"Yes",5,6,6,6,4,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","Pleasant canal walk","Unaccessible unkempt pond","Ducks, swans, coots, birds, turtles, fish","Don’t know","I would if I had the space","Make them more accessible and better maintained","2025-04-16 20:31:24 UTC","2025-04-16 20:42:05 UTC","3","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,80,16,5
"126","Respondent 127","I give consent to take part in this study",29,"Female","Yes","OX1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","Yes","1","3","1","1","1","4",NA,52,52,1,0,0,"Yes",4,6,7,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming)","Beautiful, diverse, enjoyed","Brown, flood, vast","Kingfishers, cormorants, red kites, kittiwakes, crayfish, trout, swans, geese, damselflies, mosquitos, duck mites, snakes, cows","Fish and bugs","Maybe, I would consider providing a blue space with more information or assistance","Upgrade sewers to tertiary treatment, implement NFM and stage 0 approaches, particularly to revert agriculturally intensive farming. Integrate public health into bathing waters","2025-04-16 20:59:39 UTC","2025-04-16 21:06:09 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,0,105,21,3
"127","Respondent 128","I give consent to take part in this study",26,"Male","Yes","L1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","5","1","5","5","5","6",NA,12,1,12,52,1,"Yes",5,6,7,4,6,"Feeding wildlife (e.g., ducks, fish)","Not blue, brown","Same as previous","Seagulls and pigeons","Less seagulls, more manatees","I would if I had the space","Import manatees and rewild them in canals","2025-04-16 21:01:34 UTC","2025-04-16 21:07:25 UTC","1","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,78,15.6,5
"128","Respondent 129","I give consent to take part in this study",44,"Female","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","3","1","1","3","1","5",NA,1,2,1,0,2,"No",7,7,6,4,6,"Dog walking,Exercise (e.g., walking, kayaking, swimming)","N/A","N/A","None","Bats, squirrels foxes","I would if I had the space","N/A","2025-04-17 08:47:07 UTC","2025-04-17 08:53:38 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,0,1,6,1.2,4
"129","Respondent 130","I give consent to take part in this study",62,"Female","Yes","DD8","Rural (i.e., mostly countryside with few houses or buildings)","No","Yes","1","2","1","1","1","1",NA,52,12,52,12,2,"Yes",7,7,5,6,7,"Dog walking,Photography","Tranquil, peaceful, evolving","Powerful, rejuvenating, enrichingricjing","Birds, insects, dogs","Dolphins, otters, fish","I already do","Improved access routes for walking rather than driving","2025-04-17 11:42:53 UTC","2025-04-17 11:51:57 UTC","4","Rural (i.e., mostly countryside with few houses or buildings)","Female",1,1,1,1,1,130,26,5
"130","Respondent 131","I give consent to take part in this study",38,"Male","Yes","Hu13","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","1","1","1","1","1",NA,12,52,12,52,12,"Yes",7,7,5,7,7,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Pond dipping,Rock pooling","Big open fields","Humber estuart","Yes","Mamals","I already do","More protection","2025-04-17 12:19:40 UTC","2025-04-17 12:24:07 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,140,28,5
"131","Respondent 132","I give consent to take part in this study",33,"Female","Yes","Hu4","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","3","1","2","2","4","4",NA,2,2,2,1,2,"No",5,7,5,5,4,"Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Over grown green","Busy over grown","Birds, fish, frogs","Bees birds","I would if I had the space","More signs and better knowledge for people visiting the areas","2025-04-17 13:35:18 UTC","2025-04-17 13:41:49 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,9,1.8,5
"132","Respondent 133","I give consent to take part in this study",52,"Female","Yes","YO25","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","1","1","1","1","1","1",NA,52,2,2,1,1,"No",7,7,7,7,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","Peaceful beautiful relaxing","Relaxing pretty busy","Fish birds","Every thing","Maybe, I would consider providing a blue space with more information or assistance","More bins","2025-04-17 15:33:04 UTC","2025-04-17 15:38:25 UTC","3","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Female",1,1,1,1,1,58,11.6,5
"133","Respondent 134","I give consent to take part in this study",70,"Male","Yes","HU1","Suburban (i.e., mostly houses, located just outside a city or town)","Yes","Yes","1","1","2","1","2","2",NA,12,2,1,2,1,"Yes",4,6,6,4,6,"Nature watching","inaccessible, neglected, litter-strewn","don't have one","more than most people","whatever comes naturally","I would if I had the space","Provide adequate access incl disabled, keep farmers and their associated chemicals away from them","2025-04-18 05:15:20 UTC","2025-04-18 05:24:05 UTC","4","Suburban (i.e., mostly houses, located just outside a city or town)","Male",1,1,1,1,1,18,3.6,5
"134","Respondent 135","I give consent to take part in this study",33,"Female","Yes","HU7","Suburban (i.e., mostly houses, located just outside a city or town)","No","No","1","2","1","2","2","3",NA,12,2,12,2,12,"Yes",7,7,5,6,6,"Nature watching,Exercise (e.g., walking, kayaking, swimming) ,Photography,Feeding wildlife (e.g., ducks, fish)","River nature quiet","Nature birds reeds","Birds dragonflies","Mammals","I would if I had the space","Awareness and cleaning up","2025-04-18 08:24:11 UTC","2025-04-18 08:34:08 UTC","2","Suburban (i.e., mostly houses, located just outside a city or town)","Female",1,1,1,1,1,40,8,5
"135","Respondent 136","I give consent to take part in this study",35,"Male","Yes","HU5","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","No","No","2","3","1","2","2","3",NA,12,2,2,2,12,"Yes",6,7,6,6,7,"Nature watching,Dog walking,Exercise (e.g., walking, kayaking, swimming) ,Feeding wildlife (e.g., ducks, fish)","sparse littered uninvested","inaccessible quiet clean","puffins, fish, insects, seals","otters, dolphins, seals, wales, heron, birds of prey","Maybe, I would consider providing a blue space with more information or assistance","make the space engaging and inviting without destroying habitats","2025-04-18 08:33:18 UTC","2025-04-18 08:53:58 UTC","2","Urban (i.e., a town or city, lots of people live there, and there are lots of different kinds of buildings close together)","Male",1,1,1,1,1,30,6,5
